fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,officialURL,screen_name,GroupShort,screen_name_lower
Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Europe Écologie,https://twitter.com/mounirsatouri,https://www.europarl.europa.eu/meps/en/197500,mounirsatouri,Greens–EFA,mounirsatouri
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,https://twitter.com/SchaldemoseMEP,https://www.europarl.europa.eu/meps/en/37312,SchaldemoseMEP,S&D,schaldemosemep
Mag. Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Österreichs,https://twitter.com/schieder,https://www.europarl.europa.eu/meps/en/197670,schieder,S&D,schieder
Martin SCHIRDEWAN,Germany,Confederal Group of the European United Left - Nordic Green Left,190517,DIE LINKE.,NA,https://www.europarl.europa.eu/meps/en/190517,NA,GUE-NGL,NA
Simone SCHMIEDTBAUER,Austria,Group of the European People's Party (Christian Democrats),197656,Österreichische Volkspartei,NA,https://www.europarl.europa.eu/meps/en/197656,NA,EPP,NA
Nicolas SCHMIT,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197428,Parti ouvrier socialiste luxembourgeois,https://twitter.com/nicolasschmit2,https://www.europarl.europa.eu/meps/en/197428,nicolasschmit2,S&D,nicolasschmit2
Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands,NA,https://www.europarl.europa.eu/meps/en/197422,NA,EPP,NA
Helmut SCHOLZ,Germany,Confederal Group of the European United Left - Nordic Green Left,96646,DIE LINKE.,NA,https://www.europarl.europa.eu/meps/en/96646,NA,GUE-NGL,NA
Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl,NA,https://www.europarl.europa.eu/meps/en/125030,NA,EPP,NA
Liesje SCHREINEMACHER,Netherlands,Renew Europe Group,197869,Volkspartij voor Vrijheid en Democratie,https://twitter.com/LSchreinemacher,https://www.europarl.europa.eu/meps/en/197869,LSchreinemacher,RE,lschreinemacher
Sven SCHULZE,Germany,Group of the European People's Party (Christian Democrats),124809,Christlich Demokratische Union Deutschlands,https://twitter.com/schulzeeuropa,https://www.europarl.europa.eu/meps/en/124809,schulzeeuropa,EPP,schulzeeuropa
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,NA,https://www.europarl.europa.eu/meps/en/124837,NA,S&D,NA
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,NA,https://www.europarl.europa.eu/meps/en/28223,NA,EPP,NA
Molly SCOTT CATO,United Kingdom,Group of the Greens/European Free Alliance,124942,Green Party,https://twitter.com/MollyMEP,https://www.europarl.europa.eu/meps/en/124942,MollyMEP,Greens–EFA,mollymep
Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands,NA,https://www.europarl.europa.eu/meps/en/197425,NA,EPP,NA
Stéphane SÉJOURNÉ,France,Renew Europe Group,197508,La République en marche,NA,https://www.europarl.europa.eu/meps/en/197508,NA,RE,NA
Monica SEMEDO,Luxembourg,Renew Europe Group,197418,Parti démocratique,https://twitter.com/MonicaSemedoLux,https://www.europarl.europa.eu/meps/en/197418,MonicaSemedoLux,RE,monicasemedolux
Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,197423,Die PARTEI,https://twitter.com/nicosemsrott,https://www.europarl.europa.eu/meps/en/197423,nicosemsrott,Greens–EFA,nicosemsrott
Günther SIDL,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197677,Sozialdemokratische Partei Österreichs,NA,https://www.europarl.europa.eu/meps/en/197677,NA,S&D,NA
