fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,faceboook_urls,officialURL,GroupShort,screen_name,user_id
Kira Marie PETER-HANSEN,Denmark,Group of the Greens/European Free Alliance,197573,Socialistisk Folkeparti,https://twitter.com/kira_mph,https://www.facebook.com/Kira.M.P.Hansen/,https://www.europarl.europa.eu/meps/en/197573,Greens–EFA,Kira_MPH,3378612489
Morten PETERSEN,Denmark,Renew Europe Group,124872,Det Radikale Venstre,https://twitter.com/mortenhelveg,https://www.facebook.com/morten.h.petersen.75,https://www.europarl.europa.eu/meps/en/124872,RE,mortenhelveg,25980581
Alexandra Louise Rosenfield PHILLIPS,United Kingdom,Group of the Greens/European Free Alliance,197710,Green Party,https://twitter.com/alexforeurope,https://www.facebook.com/alexforeurope/,https://www.europarl.europa.eu/meps/en/197710,Greens–EFA,alexforeurope,40363629
Alexandra Lesley PHILLIPS,United Kingdom,Non-attached Members,99461,The Brexit Party,https://twitter.com/brexitalex,NA,https://www.europarl.europa.eu/meps/en/99461,"NA",BrexitAlex,1123143752984477696
Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico,https://twitter.com/pinapic,https://www.facebook.com/pinapic,https://www.europarl.europa.eu/meps/en/124846,S&D,pinapic,339672122
Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska partija Hrvatske,NA,NA,https://www.europarl.europa.eu/meps/en/112744,S&D,TPicula,306134959
Markus PIEPER,Germany,Group of the European People's Party (Christian Democrats),28224,Christlich Demokratische Union Deutschlands,https://twitter.com/markuspiepermep,https://www.facebook.com/drmarkuspieper,https://www.europarl.europa.eu/meps/en/28224,EPP,markuspieperMEP,2979616235
Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus,https://twitter.com/spietikainen,https://www.facebook.com/MEPsirpapietikainen,https://www.europarl.europa.eu/meps/en/40599,EPP,spietikainen,20228586
Sabrina PIGNEDOLI,Italy,Non-attached Members,197619,Movimento 5 Stelle,https://twitter.com/SabriPignedoli,https://www.facebook.com/SabriPignedoli/,https://www.europarl.europa.eu/meps/en/197619,"NA",SabriPignedoli,1118820762633285633
Manu PINEDA,Spain,Confederal Group of the European United Left - Nordic Green Left,197828,Izquierda Unida,https://twitter.com/manu_abu_carlos,https://www.facebook.com/manu.illich,https://www.europarl.europa.eu/meps/en/197828,GUE-NGL,Manu_Abu_Carlos,301716524
Maxette PIRBAKAS,France,Identity and Democracy Group,197629,Rassemblement national,NA,http://www.facebook.com/Maxette Grisoni Pirbakas,https://www.europarl.europa.eu/meps/en/197629,ID,NA,NA
Kati PIRI,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37229,Partij van de Arbeid,https://twitter.com/KatiPiri,https://www.facebook.com/katipiriPvdA,https://www.europarl.europa.eu/meps/en/37229,S&D,KatiPiri,2279751087
Giuliano PISAPIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197590,Partito Democratico,https://twitter.com/giulianopisapia,https://www.facebook.com/giulianopisapia1/,https://www.europarl.europa.eu/meps/en/197590,S&D,giulianopisapia,163567416
Dragoş PÎSLARU,Romania,Renew Europe Group,197663,"Partidul Libertate, Unitate și Solidaritate",NA,https://www.facebook.com/Dragos.Pislaru,https://www.europarl.europa.eu/meps/en/197663,RE,dragos_pislaru,1140868892249776128
Manuel PIZARRO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197732,Partido Socialista,NA,https://pt-br.facebook.com/manuelpizarro17/,https://www.europarl.europa.eu/meps/en/197732,S&D,MPizarroPorto,394073804
Rovana PLUMB,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,38595,Partidul Social Democrat,NA,NA,https://www.europarl.europa.eu/meps/en/38595,S&D,RovanaPlumbMM,562731074
Stanislav POLČÁK,Czechia,Group of the European People's Party (Christian Democrats),124704,Starostové a nezávisli,https://twitter.com/stanislavpolcak,https://www.facebook.com/spolcak,https://www.europarl.europa.eu/meps/en/124704,EPP,stanislavpolcak,2414884400
Jessica POLFJÄRD,Sweden,Group of the European People's Party (Christian Democrats),197404,Moderaterna,NA,NA,https://www.europarl.europa.eu/meps/en/197404,EPP,jessicapolfjard,327359409
Peter POLLÁK,Slovakia,Group of the European People's Party (Christian Democrats),197765,Obyčajní ľudia a nezávislé osobnosti,NA,https://www.facebook.com/peterpollak.sk/,https://www.europarl.europa.eu/meps/en/197765,EPP,Peter_Pollak,918855451
Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,96801,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/96801,ECR,TomaszPoreba,2223619951
Luisa PORRITT,United Kingdom,Renew Europe Group,197700,Liberal Democrats,https://twitter.com/LuisaPorritt,https://www.facebook.com/CllrLuisaPorritt,https://www.europarl.europa.eu/meps/en/197700,RE,LuisaPorritt,338308200
Jiří POSPÍŠIL,Czechia,Group of the European People's Party (Christian Democrats),125706,TOP 09 a Starostové,https://twitter.com/Pospisil_Jiri,https://www.facebook.com/judr.jiri.pospisil,https://www.europarl.europa.eu/meps/en/125706,EPP,Pospisil_Jiri,1734717882
Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,197820,Fratelli d'Italia,NA,https://www.facebook.com/procaccini2019,https://www.europarl.europa.eu/meps/en/197820,ECR,Nprocaccini,NA
Jake PUGH,United Kingdom,Non-attached Members,197813,The Brexit Party,NA,NA,https://www.europarl.europa.eu/meps/en/197813,"NA",jake_pugh,299612346
Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,197764,Independent,NA,NA,https://www.europarl.europa.eu/meps/en/197764,"NA",NA,NA
Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens for European Development of Bulgaria,https://twitter.com/emil_radev,NA,https://www.europarl.europa.eu/meps/en/124850,EPP,Emil_Radev,3108154565
Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands,https://twitter.com/RadtkeMdEP,https://www.facebook.com/DennisRadtkeMdEP/,https://www.europarl.europa.eu/meps/en/188945,EPP,RadtkeMdEP,922398725183623168
Samira RAFAELA,Netherlands,Renew Europe Group,197868,Democraten 66,NA,https://www.facebook.com/SamiraRafaelaD66/,https://www.europarl.europa.eu/meps/en/197868,RE,samiraraf,624017568
Elżbieta RAFALSKA,Poland,European Conservatives and Reformists Group,197544,Prawo i Sprawiedliwość,https://twitter.com/e_rafalska,https://www.facebook.com/elzbieta.rafalska,https://www.europarl.europa.eu/meps/en/197544,ECR,E_Rafalska,369367937
Paulo RANGEL,Portugal,Group of the European People's Party (Christian Democrats),96903,Partido Social Democrata,https://twitter.com/paulorangel_pt,https://www.facebook.com/PauloCastroRangel/,https://www.europarl.europa.eu/meps/en/96903,EPP,PauloRangel_pt,115724250
Annunziata Mary REES-MOGG,United Kingdom,Non-attached Members,197612,The Brexit Party,NA,NA,https://www.europarl.europa.eu/meps/en/197612,"NA",zatzi,39102609
Luisa REGIMENTI,Italy,Identity and Democracy Group,197790,Lega,NA,NA,https://www.europarl.europa.eu/meps/en/197790,ID,luisaregimenti,725434892
Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Österreichs,https://twitter.com/Evelyn_Regner,https://www.facebook.com/evelyn.regner,https://www.europarl.europa.eu/meps/en/96998,S&D,Evelyn_Regner,139661393
Sira REGO,Spain,Confederal Group of the European United Left - Nordic Green Left,197681,Izquierda Unida,https://twitter.com/SIRAREGO,http://SIRAREGOIU,https://www.europarl.europa.eu/meps/en/197681,GUE-NGL,sirarego,257450818
Guido REIL,Germany,Identity and Democracy Group,197488,Alternative für Deutschland,NA,https://www.facebook.com/guidoreil.de/,https://www.europarl.europa.eu/meps/en/197488,ID,GuidoReil,802958013644632064
Terry REINTKE,Germany,Group of the Greens/European Free Alliance,103381,Bündnis 90/Die Grünen,https://twitter.com/TerryReintke,https://www.facebook.com/terry.reintke,https://www.europarl.europa.eu/meps/en/103381,Greens–EFA,TerryReintke,560188351
Karlo RESSLER,Croatia,Group of the European People's Party (Christian Democrats),197413,Hrvatska demokratska zajednica,NA,NA,https://www.europarl.europa.eu/meps/en/197413,EPP,KarloRessler,1385476140
Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana de Catalunya,https://twitter.com/DianaRibaGiner,NA,https://www.europarl.europa.eu/meps/en/197832,Greens–EFA,DianaRibaGiner,3295882694
Frédérique RIES,Belgium,Renew Europe Group,4253,Mouvement Réformateur,http://twitter.com/Frederiqueries,http://www.facebook.com/frederique.ries,https://www.europarl.europa.eu/meps/en/4253,RE,Frederiqueries,191779603
Antonio Maria RINALDI,Italy,Identity and Democracy Group,197787,Lega,https://twitter.com/Rinaldi_euro,https://www.facebook.com/rinaldiofficial/,https://www.europarl.europa.eu/meps/en/197787,ID,Rinaldi_euro,1333369999
Dominique RIQUET,France,Renew Europe Group,96885,Mouvement Radical Social-Libéral,https://twitter.com/DominiqueRiquet,https://www.facebook.com/d.riquet/,https://www.europarl.europa.eu/meps/en/96885,RE,DominiqueRiquet,2394252247
Sheila RITCHIE,United Kingdom,Renew Europe Group,197815,Liberal Democrats,https://twitter.com/europesheila,https://www.facebook.com/SheilaRitchieMEP/,https://www.europarl.europa.eu/meps/en/197815,RE,europesheila,58730899
Michèle RIVASI,France,Group of the Greens/European Free Alliance,96743,Europe Écologie,NA,NA,https://www.europarl.europa.eu/meps/en/96743,Greens–EFA,MicheleRivasi,89431845
Jérôme RIVIÈRE,France,Identity and Democracy Group,197615,Rassemblement national,https://twitter.com/jerome_riviere,NA,https://www.europarl.europa.eu/meps/en/197615,ID,jerome_riviere,202102772
Franco ROBERTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197801,Partito Democratico,https://twitter.com/francorobertieu,NA,https://www.europarl.europa.eu/meps/en/197801,S&D,francorobertieu,1118264104857288704
Inma RODRÍGUEZ-PIÑERO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125043,Partido Socialista Obrero Español,https://twitter.com/RodriguezPinero,https://www.facebook.com/inmaculadarodriguezpinero,https://www.europarl.europa.eu/meps/en/125043,S&D,RodriguezPinero,381969506
Eugenia RODRÍGUEZ PALOP,Spain,Confederal Group of the European United Left - Nordic Green Left,197785,PODEMOS,NA,NA,https://www.europarl.europa.eu/meps/en/197785,GUE-NGL,MEugeniaRPalop,571948562
María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,4344,Ciudadanos – Partido de la Ciudadanía,https://twitter.com/sorayarr_,NA,https://www.europarl.europa.eu/meps/en/4344,RE,sorayarr_,380200858
Sándor RÓNAI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197584,Demokratikus Koalíció,https://twitter.com/sandor_ronai,https://www.facebook.com/ronaisandor,https://www.europarl.europa.eu/meps/en/197584,S&D,sandor_ronai,3410987703
Daniela RONDINELLI,Italy,Non-attached Members,197792,Movimento 5 Stelle,https://twitter.com/dani_rondinelli,https://www.facebook.com/DanielaRondinelliM5S/,https://www.europarl.europa.eu/meps/en/197792,"NA",Dani_Rondinelli,1118895627394482177
Rob ROOKEN,Netherlands,European Conservatives and Reformists Group,197776,Forum voor Democratie,https://twitter.com/rooken,NA,https://www.europarl.europa.eu/meps/en/197776,ECR,rooken,15334541
Robert ROOS,Netherlands,European Conservatives and Reformists Group,197709,Forum voor Democratie,https://twitter.com/rob_roos,NA,https://www.europarl.europa.eu/meps/en/197709,ECR,Rob_Roos,130406156
Caroline ROOSE,France,Group of the Greens/European Free Alliance,197506,Alliance Écologiste Indépendante,https://twitter.com/CarolineRooseEU,https://www.facebook.com/CarolineRooseEU/,https://www.europarl.europa.eu/meps/en/197506,Greens–EFA,CarolineRooseEU,1150811186772025344
Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos valstiečių ir žaliųjų sąjunga,NA,https://www.facebook.com/rope.bronis,https://www.europarl.europa.eu/meps/en/125214,Greens–EFA,BronisRopeLT,3846811756
André ROUGÉ,France,Identity and Democracy Group,197690,Rassemblement national,NA,NA,https://www.europarl.europa.eu/meps/en/197690,ID,AndreRougeOff,1156135942660460544
Catherine ROWETT,United Kingdom,Group of the Greens/European Free Alliance,197602,Green Party,https://twitter.com/catherinerowett,https://www.facebook.com/Catherine.J.Rowett/,https://www.europarl.europa.eu/meps/en/197602,Greens–EFA,catherinerowett,1719936289
Robert ROWLAND,United Kingdom,Non-attached Members,197733,The Brexit Party,https://twitter.com/RowlandBrexitSE,https://www.facebook.com/profile.php?id=100010407372649,https://www.europarl.europa.eu/meps/en/197733,"NA",RowlandBrexitSE,1123287693377536000
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,197773,Staatkundig Gereformeerde Partij,https://twitter.com/hjaruissen,https://www.facebook.com/people/Bert-Jan-Ruissen/100017211463238,https://www.europarl.europa.eu/meps/en/197773,ECR,hjaruissen,72240437
Domènec RUIZ DEVESA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,127096,Partido Socialista Obrero Español,https://twitter.com/domenecd,NA,https://www.europarl.europa.eu/meps/en/127096,S&D,DomenecD,372232906
Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,197545,Prawo i Sprawiedliwość,https://twitter.com/bogdan_rzonca,https://www.facebook.com/BogdanRzonca,https://www.europarl.europa.eu/meps/en/197545,ECR,Bogdan_Rzonca,1548724530
Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia,https://twitter.com/MaxSalini,https://www.facebook.com/massimilianosalini.it,https://www.europarl.europa.eu/meps/en/125670,EPP,MaxSalini,601773356
Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Español,https://twitter.com/NachoSAmor,NA,https://www.europarl.europa.eu/meps/en/197722,S&D,NachoSAmor,322551792
Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains,https://twitter.com/ASanderMEP,https://www.facebook.com/annesanderMEP/,https://www.europarl.europa.eu/meps/en/24594,EPP,ASanderMEP,2610126043
Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista,https://twitter.com/SantAlfred,https://www.facebook.com/alfredsantpage,https://www.europarl.europa.eu/meps/en/124781,S&D,SantAlfred,1558588135
Isabel SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197650,Partido Socialista,NA,NA,https://www.europarl.europa.eu/meps/en/197650,S&D,isabel_mep,1145077300519739397
Silvia SARDONE,Italy,Identity and Democracy Group,197578,Lega,https://twitter.com/SardoneSilvia,https://www.facebook.com/silviasardone,https://www.europarl.europa.eu/meps/en/197578,ID,SardoneSilvia,600365935
Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus,https://twitter.com/petrisarvamaa,https://www.facebook.com/sarvamaa.petri,https://www.europarl.europa.eu/meps/en/112611,EPP,petrisarvamaa,31193470
Jacek SARYUSZ-WOLSKI,Poland,European Conservatives and Reformists Group,28297,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/28297,ECR,JSaryuszWolski,1485429175
David Maria SASSOLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96864,Partito Democratico,NA,NA,https://www.europarl.europa.eu/meps/en/96864,S&D,DavidSassoli,54988878
Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Europe Écologie,https://twitter.com/mounirsatouri,https://www.facebook.com/mounir.satouri,https://www.europarl.europa.eu/meps/en/197500,Greens–EFA,MounirSatouri,848826626
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,https://twitter.com/SchaldemoseMEP,https://www.facebook.com/ChristelSchaldemose,https://www.europarl.europa.eu/meps/en/37312,S&D,SchaldemoseMEP,1249695476
Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Österreichs,https://twitter.com/schieder,https://www.facebook.com/andreas.schieder.eu,https://www.europarl.europa.eu/meps/en/197670,S&D,SCHIEDER,15749452
Martin SCHIRDEWAN,Germany,Confederal Group of the European United Left - Nordic Green Left,190517,DIE LINKE.,NA,NA,https://www.europarl.europa.eu/meps/en/190517,GUE-NGL,schirdewan,743724264
Simone SCHMIEDTBAUER,Austria,Group of the European People's Party (Christian Democrats),197656,Österreichische Volkspartei,NA,https://www.facebook.com/SchmiedtbauerSimone/,https://www.europarl.europa.eu/meps/en/197656,EPP,NA,NA
Nicolas SCHMIT,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197428,Parti ouvrier socialiste luxembourgeois,https://twitter.com/nicolasschmit2,https://www.facebook.com/nicolas.schmit.3152,https://www.europarl.europa.eu/meps/en/197428,S&D,nicolasschmit2,544312946
Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands,NA,NA,https://www.europarl.europa.eu/meps/en/197422,EPP,ChSchneider,56136971
Helmut SCHOLZ,Germany,Confederal Group of the European United Left - Nordic Green Left,96646,DIE LINKE.,https://twitter.com/HelmutScholzMEP,https://de-de.facebook.com/HelmutScholzMEP/,https://www.europarl.europa.eu/meps/en/96646,GUE-NGL,HelmutScholzMEP,2449051215
Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl,NA,NA,https://www.europarl.europa.eu/meps/en/125030,EPP,AnnieSchreijer,2416391065
Liesje SCHREINEMACHER,Netherlands,Renew Europe Group,197869,Volkspartij voor Vrijheid en Democratie,https://twitter.com/LSchreinemacher,https://www.facebook.com/liesje.schreinemacher,https://www.europarl.europa.eu/meps/en/197869,RE,LSchreinemacher,494021297
Sven SCHULZE,Germany,Group of the European People's Party (Christian Democrats),124809,Christlich Demokratische Union Deutschlands,https://twitter.com/schulzeeuropa,https://www.facebook.com/sven.schulze.1420,https://www.europarl.europa.eu/meps/en/124809,EPP,schulzeeuropa,2339095172
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,NA,NA,https://www.europarl.europa.eu/meps/en/124837,S&D,Schuster_MdEP,1154675761414070272
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,NA,NA,https://www.europarl.europa.eu/meps/en/28223,EPP,Andreas_Schwab,31099936
Molly SCOTT CATO,United Kingdom,Group of the Greens/European Free Alliance,124942,Green Party,https://twitter.com/MollyMEP,https://www.facebook.com/MollyMEP,https://www.europarl.europa.eu/meps/en/124942,Greens–EFA,MollyMEP,726372601
Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands,NA,NA,https://www.europarl.europa.eu/meps/en/197425,EPP,NA,NA
Stéphane SÉJOURNÉ,France,Renew Europe Group,197508,La République en marche,NA,NA,https://www.europarl.europa.eu/meps/en/197508,RE,steph_sejourne,23967604
Monica SEMEDO,Luxembourg,Renew Europe Group,197418,Parti démocratique,https://twitter.com/MonicaSemedoLux,https://www.facebook.com/monica.semedo.3,https://www.europarl.europa.eu/meps/en/197418,RE,MonicaSemedoLux,1574792726
Nico SEMSROTT,Germany,Group of the Greens/European Free Alliance,197423,Die PARTEI,https://twitter.com/nicosemsrott,https://www.facebook.com/nicosemsrott,https://www.europarl.europa.eu/meps/en/197423,Greens–EFA,nicosemsrott,225761424
Günther SIDL,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197677,Sozialdemokratische Partei Österreichs,NA,https://www.facebook.com/sidl.guenther,https://www.europarl.europa.eu/meps/en/197677,S&D,NA,NA
Radosław SIKORSKI,Poland,Group of the European People's Party (Christian Democrats),197548,Platforma Obywatelska,https://twitter.com/sikorskiradek,https://www.facebook.com/radeksikorski/,https://www.europarl.europa.eu/meps/en/197548,EPP,sikorskiradek,117029568
Pedro SILVA PEREIRA,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124747,Partido Socialista,NA,NA,https://www.europarl.europa.eu/meps/en/124747,S&D,NA,NA
Michal ŠIMEČKA,Slovakia,Renew Europe Group,103746,Progresívne Slovensko,NA,NA,https://www.europarl.europa.eu/meps/en/103746,RE,NA,NA
Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands,NA,NA,https://www.europarl.europa.eu/meps/en/197426,EPP,svensimon,19207204
Ivan Vilibor SINČIĆ,Croatia,Non-attached Members,197935,Živi Zid,NA,https://www.facebook.com/ivsincic/,https://www.europarl.europa.eu/meps/en/197935,"NA",IvanVilibor,4474744277
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands,https://twitter.com/BirgitSippelMEP,https://www.facebook.com/BirgitSippel,https://www.europarl.europa.eu/meps/en/96932,S&D,BirgitSippelMEP,1580316804
Sara SKYTTEDAL,Sweden,Group of the European People's Party (Christian Democrats),197390,Kristdemokraterna,https://twitter.com/skyttedal,https://www.facebook.com/skyttedal,https://www.europarl.europa.eu/meps/en/197390,EPP,skyttedal,21556545
Andrey SLABAKOV,Bulgaria,European Conservatives and Reformists Group,197849,VMRO,NA,NA,https://www.europarl.europa.eu/meps/en/197849,ECR,NA,NA
Massimiliano SMERIGLIO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197791,Partito Democratico,https://twitter.com/maxsmeriglio,https://www.facebook.com/massimiliano.smeriglio,https://www.europarl.europa.eu/meps/en/197791,S&D,maxsmeriglio,388718346
Alyn SMITH,United Kingdom,Group of the Greens/European Free Alliance,28508,Scottish National Party,https://twitter.com/AlynSmith,https://www.facebook.com/alynsmithSNP,https://www.europarl.europa.eu/meps/en/28508,Greens–EFA,AlynSmith,23056912
Michaela ŠOJDROVÁ,Czechia,Group of the European People's Party (Christian Democrats),124710,Křesťanská a demokratická unie - Československá strana lidová,https://twitter.com/msojdrova,https://www.facebook.com/michaela.sojdrova/,https://www.europarl.europa.eu/meps/en/124710,EPP,msojdrova,2671775504
Tomislav SOKOL,Croatia,Group of the European People's Party (Christian Democrats),197417,Hrvatska demokratska zajednica,NA,https://www.facebook.com/TomislavSokol/,https://www.europarl.europa.eu/meps/en/197417,EPP,TomislavSokol,1114837449061150721
Susana SOLÍS PÉREZ,Spain,Renew Europe Group,197784,Ciudadanos – Partido de la Ciudadanía,https://twitter.com/susanasolisp,NA,https://www.europarl.europa.eu/meps/en/197784,RE,susanasolisp,3180723706
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI,https://twitter.com/MartinSonneborn,https://www.facebook.com/Martin-Sonneborn-178442508884215,https://www.europarl.europa.eu/meps/en/124834,"NA",MartinSonneborn,20463983
Sylwia SPUREK,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197550,Wiosna,https://twitter.com/sylwiaspurek,https://www.facebook.com/drSylwiaSpurek/,https://www.europarl.europa.eu/meps/en/197550,S&D,SylwiaSpurek,4577469077
Maria SPYRAKI,Greece,Group of the European People's Party (Christian Democrats),125064,Nea Demokratia,https://twitter.com/MariaSpyraki,https://www.facebook.com/MSpyraki/,https://www.europarl.europa.eu/meps/en/125064,EPP,MariaSpyraki,339846503
Raffaele STANCANELLI,Italy,European Conservatives and Reformists Group,197825,Fratelli d'Italia,NA,NA,https://www.europarl.europa.eu/meps/en/197825,ECR,r_stancanelli,284555061
Sergei STANISHEV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124852,Bulgarian Socialist Party,https://twitter.com/SergeiStanishev,https://www.facebook.com/Stanishev.Sergei/ ,https://www.europarl.europa.eu/meps/en/124852,S&D,SergeiStanishev,435714725
Louis STEDMAN-BRYCE,United Kingdom,Non-attached Members,197814,The Brexit Party,https://twitter.com/lstedmanbryce,NA,https://www.europarl.europa.eu/meps/en/197814,"NA",Lstedmanbryce,1121578444943429632
Ivan ŠTEFANEC,Slovakia,Group of the European People's Party (Christian Democrats),124929,Kresťanskodemokratické hnutie,https://twitter.com/IvanStefanec,https://www.facebook.com/ivan.stefanec.1,https://www.europarl.europa.eu/meps/en/124929,EPP,IvanStefanec,2426902357
Nicolae ŞTEFĂNUȚĂ,Romania,Renew Europe Group,58766,Uniunea Salvați România,https://twitter.com/nicustefanuta,https://www.facebook.com/nicustefanutaUSRinPE/,https://www.europarl.europa.eu/meps/en/58766,RE,nicustefanuta,14157177
Jessica STEGRUD,Sweden,European Conservatives and Reformists Group,197399,Sverigedemokraterna,NA,NA,https://www.europarl.europa.eu/meps/en/197399,ECR,JessicaStegrud,831943427705208835
Tineke STRIK,Netherlands,Group of the Greens/European Free Alliance,197772,GroenLinks,https://twitter.com/tineke_strik,NA,https://www.europarl.europa.eu/meps/en/197772,Greens–EFA,Tineke_Strik,300876743
Ramona STRUGARIU,Romania,Renew Europe Group,134605,"Partidul Libertate, Unitate și Solidaritate",NA,NA,https://www.europarl.europa.eu/meps/en/134605,RE,RamonaStrugariu,699745166807207936
Dubravka ŠUICA,Croatia,Group of the European People's Party (Christian Democrats),119434,Hrvatska demokratska zajednica,NA,NA,https://www.europarl.europa.eu/meps/en/119434,EPP,dubravkasuica,1860459990
József SZÁJER,Hungary,Group of the European People's Party (Christian Democrats),23821,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NA,NA,https://www.europarl.europa.eu/meps/en/23821,EPP,NA,NA
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,197553,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/197553,ECR,BeataSzydlo,76979225
Antonio TAJANI,Italy,Group of the European People's Party (Christian Democrats),2187,Forza Italia,https://twitter.com/Antonio_Tajani,https://www.facebook.com/antonio.tajani/,https://www.europarl.europa.eu/meps/en/2187,EPP,Antonio_Tajani,529247064
Paul TANG,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125020,Partij van de Arbeid,https://twitter.com/paultang,https://www.facebook.com/PaulTangPvdA,https://www.europarl.europa.eu/meps/en/125020,S&D,paultang,23318055
Marc TARABELLA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,29579,Parti Socialiste,https://twitter.com/marctarabella,https://www.facebook.com/marc.tarabella,https://www.europarl.europa.eu/meps/en/29579,S&D,marctarabella,144238332
Annalisa TARDINO,Italy,Identity and Democracy Group,197806,Lega,https://twitter.com/TardinoAnnalisa,https://www.facebook.com/VotaAnnalisaTardino/,https://www.europarl.europa.eu/meps/en/197806,ID,TardinoAnnalisa,1120084154853490688
Vera TAX,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197756,Partij van de Arbeid,NA,NA,https://www.europarl.europa.eu/meps/en/197756,S&D,Vera_Tax,37888214
John David Edward TENNANT,United Kingdom,Non-attached Members,197705,The Brexit Party,NA,NA,https://www.europarl.europa.eu/meps/en/197705,"NA",JohnTennantMEP,1132976282008981506
Cristian TERHEŞ,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197655,Partidul Social Democrat,NA,NA,https://www.europarl.europa.eu/meps/en/197655,S&D,NA,NA
Hermann TERTSCH,Spain,European Conservatives and Reformists Group,197831,VOX,https://twitter.com/hermanntertsch,NA,https://www.europarl.europa.eu/meps/en/197831,ECR,hermanntertsch,257332880
