fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter_urls,faceboook_urls,officialURL,GroupShort,screen_name,user_id
Jaak MADISON,Estonia,Identity and Democracy Group,197493,Eesti Konservatiivne Rahvaerakond,https://twitter.com/jaakmadison,https://www.facebook.com/madisonjaak/,https://www.europarl.europa.eu/meps/en/197493,ID,JaakMadison,2311916178
Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197719,Partido Socialista Obrero Español,https://twitter.com/crismaestre,https://www.facebook.com/cristina.maestremartin,https://www.europarl.europa.eu/meps/en/197719,S&D,crismaestre,110695283
Magid MAGID,United Kingdom,Group of the Greens/European Free Alliance,197812,Green Party,https://twitter.com/magicmagid,https://www.facebook.com/Magid-Magid-MEP-209253609854374/,https://www.europarl.europa.eu/meps/en/197812,Greens–EFA,MagicMagid,28257421
Pierfrancesco MAJORINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197592,Partito Democratico,NA,NA,https://www.europarl.europa.eu/meps/en/197592,S&D,pfmajorino,271596933
Aušra MALDEIKIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),197835,Independent,NA,NA,https://www.europarl.europa.eu/meps/en/197835,EPP,maldeikiene,1141647835189977088
Adriana MALDONADO LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197735,Partido Socialista Obrero Español,https://twitter.com/_AMaldonado_,NA,https://www.europarl.europa.eu/meps/en/197735,S&D,_AMaldonado_,380234100
Claudiu MANDA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197653,Partidul Social Democrat,NA,NA,https://www.europarl.europa.eu/meps/en/197653,S&D,NA,NA
Antonius MANDERS,Netherlands,Group of the European People's Party (Christian Democrats),4560,50 PLUS,NA,http://www.facebook.com/profile.php?id=1725565429,https://www.europarl.europa.eu/meps/en/4560,EPP,NA,NA
Lukas MANDL,Austria,Group of the European People's Party (Christian Democrats),190713,Österreichische Volkspartei,https://twitter.com/lukasmandl,https://www.facebook.com/lukasmandl.eu,https://www.europarl.europa.eu/meps/en/190713,EPP,lukasmandl,56818265
Thierry MARIANI,France,Identity and Democracy Group,197623,Rassemblement national,https://twitter.com/thierrymariani,https://www.facebook.com/ThierryMariani/,https://www.europarl.europa.eu/meps/en/197623,ID,ThierryMARIANI,87212906
Marian-Jean MARINESCU,Romania,Group of the European People's Party (Christian Democrats),33982,Partidul Naţional Liberal,NA,NA,https://www.europarl.europa.eu/meps/en/33982,EPP,MarianMarinescu,90014101
Erik MARQUARDT,Germany,Group of the Greens/European Free Alliance,197462,Bündnis 90/Die Grünen,https://twitter.com/erikmarquardt,https://www.facebook.com/ErikMarquardtde/,https://www.europarl.europa.eu/meps/en/197462,Greens–EFA,ErikMarquardt,149441850
Margarida MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197638,Partido Socialista,https://twitter.com/mmargmarques,https://www.facebook.com/marqumd,https://www.europarl.europa.eu/meps/en/197638,S&D,mmargmarques,718106057416052741
Pedro MARQUES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197634,Partido Socialista,https://twitter.com/pmdjmarques,https://www.facebook.com/PedroMarquesEuro/,https://www.europarl.europa.eu/meps/en/197634,S&D,pmdjmarques,1096808124135235585
Fulvio MARTUSCIELLO,Italy,Group of the European People's Party (Christian Democrats),124828,Forza Italia,NA,NA,https://www.europarl.europa.eu/meps/en/124828,EPP,fulviomartuscie,813738259
Marisa MATIAS,Portugal,Confederal Group of the European United Left - Nordic Green Left,96820,Bloco de Esquerda,https://twitter.com/mmatias_,https://www.facebook.com/MATIAS.Marisa/,https://www.europarl.europa.eu/meps/en/96820,GUE-NGL,mmatias_,948552829
Predrag Fred MATIĆ,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197441,Socijaldemokratska partija Hrvatske,https://twitter.com/fred_matic,https://www.facebook.com/predragmaticfred/,https://www.europarl.europa.eu/meps/en/197441,S&D,fred_matic,1110460054392791040
Emmanuel MAUREL,France,Confederal Group of the European United Left - Nordic Green Left,24505,Gauche républicaine et socialiste,https://twitter.com/emmanuelmaurel,https://www.facebook.com/emmanuelmaurel/,https://www.europarl.europa.eu/meps/en/24505,GUE-NGL,emmanuelmaurel,66691158
Costas MAVRIDES,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124691,Democratic Party,https://twitter.com/MavridesCostas,https://www.facebook.com/costas.mavrides.3,https://www.europarl.europa.eu/meps/en/124691,S&D,MavridesCostas,3842013736
Radka MAXOVÁ,Czechia,Renew Europe Group,197522,ANO 2011,NA,NA,https://www.europarl.europa.eu/meps/en/197522,RE,radkamaxova,2242356686
Eva MAYDELL,Bulgaria,Group of the European People's Party (Christian Democrats),98341,Citizens for European Development of Bulgaria,https://twitter.com/EvaMaydell,https://www.facebook.com/EvaMaydell,https://www.europarl.europa.eu/meps/en/98341,EPP,EvaMaydell,2472445567
Georg MAYER,Austria,Identity and Democracy Group,38511,Freiheitliche Partei Österreichs,NA,NA,https://www.europarl.europa.eu/meps/en/38511,ID,georgmayermep,2821282972
Beata MAZUREK,Poland,European Conservatives and Reformists Group,197538,Prawo i Sprawiedliwość,NA,NA,https://www.europarl.europa.eu/meps/en/197538,ECR,beatamk,1118740158
Liudas MAŽYLIS,Lithuania,Group of the European People's Party (Christian Democrats),197841,Tėvynės sąjunga-Lietuvos krikščionys demokratai,NA,NA,https://www.europarl.europa.eu/meps/en/197841,EPP,NA,NA
Vangelis MEIMARAKIS,Greece,Group of the European People's Party (Christian Democrats),197662,Nea Demokratia,NA,NA,https://www.europarl.europa.eu/meps/en/197662,EPP,v_meimarakis,3992951153
Dace MELBĀRDE,Latvia,European Conservatives and Reformists Group,130256,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",NA,https://www.facebook.com/dace.melbarde,https://www.europarl.europa.eu/meps/en/130256,ECR,NA,NA
Karen MELCHIOR,Denmark,Renew Europe Group,197567,Det Radikale Venstre,https://twitter.com/karmel80,https://www.facebook.com/KarenMelchiorDK/,https://www.europarl.europa.eu/meps/en/197567,RE,karmel80,16936237
Joëlle MÉLIN,France,Identity and Democracy Group,124765,Rassemblement national,https://twitter.com/joellemelinrn,https://www.facebook.com/joellemelinRN/,https://www.europarl.europa.eu/meps/en/124765,ID,JoelleMelinRN,2362654915
Nuno MELO,Portugal,Group of the European People's Party (Christian Democrats),96978,Partido do Centro Democrático Social-Partido Popular,NA,https://www.facebook.com/pages/Nuno-Melo/204951230547,https://www.europarl.europa.eu/meps/en/96978,EPP,NunoMeloCDS,2858866479
